clubName,leagueName,countryName,clubLogo,countryFlag
Real Salt Lake,USA Major League Soccer,United States,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Real+Salt+Lake.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/United+States.png
Unión de Santa Fe,Argentina Primera División,Argentina,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Unión+de+Santa+Fe.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Argentina.png
Dalian YiFang FC,Chinese Super League,China PR,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Dalian+YiFang+FC.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/China+PR.png
FC Juárez,Mexican Liga MX,Mexico,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/FC+Juárez.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Mexico.png
Sport Huancayo,Peruvian Primera División,Peru,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Sport+Huancayo.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Peru.png
Newcastle Jets,Australian Hyundai A-League,Australia,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Newcastle+Jets.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Australia.png
Wuhan Zall,Chinese Super League,China PR,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Wuhan+Zall.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/China+PR.png
UD Logroñés,Spanish Segunda División,Spain,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/UD+Logroñés.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Spain.png
Houston Dynamo,USA Major League Soccer,United States,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Houston+Dynamo.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/United+States.png
Ulsan Hyundai FC,Korean K League 1,Korea Republic,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Ulsan+Hyundai+FC.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Korea+Republic.png
Os Belenenses,Portuguese Liga ZON SAGRES,Portugal,https://asefifaplayers.s3.eu-central-1.amazonaws.com/clubLogo/Os+Belenenses.png,https://asefifaplayers.s3.eu-central-1.amazonaws.com/countryFlags/Portugal.png
